schoolName,longitude,latitude
Abilene Christian University,-99.70809799999999,32.469732
Adams State University,-105.8806504,37.4746242
Adelphi University,-73.6522652,40.7202125
Adrian College,-84.05917389999999,41.8985832
Adventist University of Health Sciences,-81.3675993,28.576276
AIB College of Business,-93.64558339999999,41.5619576
Alabama A & M University,-86.572031,34.7846326
Alabama State University,-86.2940544,32.3636619
Albany College of Pharmacy and Health Sciences,-73.7786,42.6519829
Albany State University,-84.1404238,31.5690317
Albertus Magnus College,-72.9226957,41.3316093
Albion College,-84.7451775,42.2440064
Albright College,-75.910629,40.3615027
Alcorn State University,-91.13729239999999,31.8742035
Alderson Broaddus University,-80.0486604,39.1583178
Alfred University,-77.7862799,42.2554523
Allegheny College,-80.1451479,41.6492142
Alma College,-84.6728043,43.3807565
Alvernia University,-75.931668,40.3112017
Alverno College,-87.9636173,42.9835246
American International College,-72.557144,42.112853
American University,-77.08880289999999,38.9374948
Amherst College,-72.5170028,42.3709104
Anderson University,-85.6650798,40.1114679
Andrews University,-86.35946609999999,41.9646127
Angelo State University,-100.4602762,31.4382686
Anna Maria College,-71.91794399999999,42.327075
Appalachian State University,-81.6841448,36.2134842
Aquinas College,-85.6285917,42.96032779999999
Arcadia University,-75.1648845,40.0914406
Arizona State University-Downtown Phoenix,-112.0731218,33.4535385
Arizona State University-Polytechnic,-111.6797578,33.3072131
Arizona State University-Tempe,-111.9280527,33.4242399
Arizona State University-West,-112.1598496,33.6075228
Arkansas State University-Main Campus,-90.67485889999999,35.8430861
Arkansas Tech University,-93.1362663,35.2944535
Armstrong Atlantic State University,-81.1623462,31.978441
Art Center College of Design,-118.1851569,34.1688713
Asbury University,-84.665579,37.8646248
Ashland University,-82.32305099999999,40.8619296
Assumption College,-71.82970519999999,42.2938564
Auburn University,-85.4951663,32.5933574
Auburn University at Montgomery,-86.1766584,32.3697457
Augsburg College,-93.2401366,44.9663002
Augustana College,-90.55070979999999,41.5051053
Aurora University,-88.34963959999999,41.7545293
Austin College,-96.594854,33.64626
Austin Peay State University,-87.3548855,36.53498
Avila University,-94.59146989999999,38.9123643
Azusa Pacific University,-117.8883593,34.1300755
Babson College,-71.2657077,42.2964421
Baker University,-95.1880247,38.7780272
Baldwin Wallace University,-81.8478088,41.37111650000001
Ball State University,-85.40698599999999,40.2061028
Baptist Memorial College of Health Sciences,-90.0276951,35.1389074
Bard College,-73.91005439999999,42.0203897
Barnard College,-73.9639632,40.8090974
Barry University,-80.1983655,25.8788664
Barton College,-77.91629259999999,35.7351056
Bates College,-70.2021865,44.1057216
Bay Path College,-72.5825941,42.0558784
